Time of Scrape,Player Name,Team,Position,Game Start Date/Time,Opponent,Strikeout Predictions
2023-06-21 04:29:13,Tyler Wells,BAL,P,"Jun 21 11:10 AM, 2023",TB,5.5
2023-06-21 04:29:13,Taj Bradley,TB,P,"Jun 21 11:10 AM, 2023",BAL,6.0
2023-06-21 04:29:13,Kevin Gausman,TOR,P,"Jun 21 11:10 AM, 2023",MIA,6.5
2023-06-21 04:29:14,Sandy Alcantara,MIA,P,"Jun 21 11:10 AM, 2023",TOR,5.5
2023-06-21 04:29:14,Kyle Hendricks,CHC,P,"Jun 21 11:35 AM, 2023",PIT,4.0
2023-06-21 04:29:14,Rich Hill,PIT,P,"Jun 21 11:35 AM, 2023",CHC,5.0
2023-06-21 04:29:14,Brady Singer,KC,P,"Jun 21 12:10 PM, 2023",DET,4.5
2023-06-21 04:29:14,Matthew Boyd,DET,P,"Jun 21 12:10 PM, 2023",KC,6.0
2023-06-21 04:29:14,Zac Gallen,ARI,P,"Jun 21 1:10 PM, 2023",MIL,6.5
2023-06-21 04:29:14,Julio Teheran,MIL,P,"Jun 21 1:10 PM, 2023",ARI,4.0
2023-06-21 04:29:14,Tylor Megill,NYM,P,"Jun 21 1:10 PM, 2023",HOU,4.0
2023-06-21 04:29:14,Cristian Javier,HOU,P,"Jun 21 1:10 PM, 2023",NYM,5.0
2023-06-21 04:29:14,AJ Smith-Shawver,ATL,P,"Jun 21 5:40 PM, 2023",PHI,5.0
2023-06-21 04:29:14,Aaron Nola,PHI,P,"Jun 21 5:40 PM, 2023",ATL,7.0
2023-06-21 04:29:14,Luis Castillo,SEA,P,"Jun 21 6:05 PM, 2023",NYY,7.0
2023-06-21 04:29:14,Jhony Brito,NYY,P,"Jun 21 6:05 PM, 2023",SEA,4.5
2023-06-21 04:29:14,Paul Blackburn,OAK,P,"Jun 21 6:10 PM, 2023",CLE,3.5
2023-06-21 04:29:14,Garrett Whitlock,BOS,P,"Jun 21 6:40 PM, 2023",MIN,5.5
2023-06-21 04:29:14,Sonny Gray,MIN,P,"Jun 21 6:40 PM, 2023",BOS,5.0
2023-06-21 04:29:14,Martín Pérez,TEX,P,"Jun 21 7:10 PM, 2023",CWS,4.0
2023-06-21 04:31:04,Tyler Wells,BAL,P,"Jun 21 11:10 AM, 2023",TB,5.5
2023-06-21 04:31:04,Taj Bradley,TB,P,"Jun 21 11:10 AM, 2023",BAL,6.0
2023-06-21 04:31:04,Kevin Gausman,TOR,P,"Jun 21 11:10 AM, 2023",MIA,6.5
2023-06-21 04:31:04,Sandy Alcantara,MIA,P,"Jun 21 11:10 AM, 2023",TOR,5.5
2023-06-21 04:31:04,Kyle Hendricks,CHC,P,"Jun 21 11:35 AM, 2023",PIT,4.0
2023-06-21 04:31:04,Rich Hill,PIT,P,"Jun 21 11:35 AM, 2023",CHC,5.0
2023-06-21 04:31:04,Brady Singer,KC,P,"Jun 21 12:10 PM, 2023",DET,4.5
2023-06-21 04:31:04,Matthew Boyd,DET,P,"Jun 21 12:10 PM, 2023",KC,6.0
2023-06-21 04:31:04,Zac Gallen,ARI,P,"Jun 21 1:10 PM, 2023",MIL,6.5
2023-06-21 04:31:04,Julio Teheran,MIL,P,"Jun 21 1:10 PM, 2023",ARI,4.0
