Time of Scrape,Player Name,Team,Position,Game Start Date,Opponent,Strikeout Predictions
2023-06-23 03:39:05,Luis Ortiz,PIT,P,"Jun 23, 2023",MIA,4.0
2023-06-23 03:39:05,Jesús Luzardo,MIA,P,"Jun 23, 2023",PIT,6.0
2023-06-23 03:39:05,Logan Gilbert,SEA,P,"Jun 23, 2023",BAL,4.5
2023-06-23 03:39:05,Kyle Gibson,BAL,P,"Jun 23, 2023",SEA,5.0
2023-06-23 03:39:05,James Kaprielian,OAK,P,"Jun 23, 2023",TOR,4.0
2023-06-23 03:39:05,Chris Bassitt,TOR,P,"Jun 23, 2023",OAK,5.5
2023-06-23 03:39:05,Wade Miley,MIL,P,"Jun 23, 2023",CLE,3.0
2023-06-23 03:39:05,Shane Bieber,CLE,P,"Jun 23, 2023",MIL,6.0
2023-06-23 03:39:05,Brayan Bello,BOS,P,"Jun 23, 2023",CWS,5.0
2023-06-23 03:39:05,Lucas Giolito,CWS,P,"Jun 23, 2023",BOS,5.5
2023-06-23 03:39:05,Patrick Sandoval,LAA,P,"Jun 23, 2023",COL,5.0
2023-06-23 03:39:06,Kyle Freeland,COL,P,"Jun 23, 2023",LAA,3.5
2023-06-23 03:39:06,Patrick Corbin,WSH,P,"Jun 23, 2023",SD,4.0
2023-06-23 03:39:06,Joe Musgrove,SD,P,"Jun 23, 2023",WSH,5.0
2023-06-23 03:39:06,J.P. France,HOU,P,"Jun 23, 2023",LAD,4.5
2023-06-23 03:39:06,Emmet Sheehan,LAD,P,"Jun 23, 2023",HOU,4.5
2023-06-23 03:39:06,Zach Davies,ARI,P,"Jun 23, 2023",SF,3.0
2023-06-23 03:39:06,Logan Webb,SF,P,"Jun 23, 2023",ARI,5.0
2023-06-23 04:49:29,AJ Smith-Shawver,ATL,P,"Jun 23, 2023",CIN,4.5
2023-06-23 04:49:29,Luke Weaver,CIN,P,"Jun 23, 2023",ATL,3.5
2023-06-23 04:49:29,Zack Greinke,KC,P,"Jun 23, 2023",TB,3.5
2023-06-23 04:49:29,Zach Eflin,TB,P,"Jun 23, 2023",KC,6.0
2023-06-23 04:49:30,Kenta Maeda,MIN,P,"Jun 23, 2023",DET,4.5
2023-06-23 04:49:30,Joey Wentz,DET,P,"Jun 23, 2023",MIN,5.0
2023-06-23 04:49:30,Luis Ortiz,PIT,P,"Jun 23, 2023",MIA,4.0
2023-06-23 04:49:30,Jesús Luzardo,MIA,P,"Jun 23, 2023",PIT,6.0
2023-06-23 04:49:30,Logan Gilbert,SEA,P,"Jun 23, 2023",BAL,4.5
2023-06-23 04:49:30,Kyle Gibson,BAL,P,"Jun 23, 2023",SEA,5.0
2023-06-23 04:49:30,James Kaprielian,OAK,P,"Jun 23, 2023",TOR,4.0
2023-06-23 04:49:30,Chris Bassitt,TOR,P,"Jun 23, 2023",OAK,5.5
2023-06-23 04:49:30,Wade Miley,MIL,P,"Jun 23, 2023",CLE,3.0
2023-06-23 04:49:31,Shane Bieber,CLE,P,"Jun 23, 2023",MIL,6.0
2023-06-23 04:49:31,Brayan Bello,BOS,P,"Jun 23, 2023",CWS,5.0
2023-06-23 04:49:31,Lucas Giolito,CWS,P,"Jun 23, 2023",BOS,5.5
2023-06-23 04:49:31,Patrick Sandoval,LAA,P,"Jun 23, 2023",COL,5.0
2023-06-23 04:49:31,Kyle Freeland,COL,P,"Jun 23, 2023",LAA,3.5
2023-06-23 04:49:31,Patrick Corbin,WSH,P,"Jun 23, 2023",SD,4.0
2023-06-23 04:49:31,Joe Musgrove,SD,P,"Jun 23, 2023",WSH,5.0
2023-06-23 04:49:31,J.P. France,HOU,P,"Jun 23, 2023",LAD,4.5
2023-06-23 04:49:31,Emmet Sheehan,LAD,P,"Jun 23, 2023",HOU,4.5
2023-06-23 04:49:32,Zach Davies,ARI,P,"Jun 23, 2023",SF,3.0
2023-06-23 04:49:32,Logan Webb,SF,P,"Jun 23, 2023",ARI,5.0
2023-06-23 12:00:37,AJ Smith-Shawver,ATL,P,"Jun 23, 2023",CIN,4.5
2023-06-23 12:00:37,Luke Weaver,CIN,P,"Jun 23, 2023",ATL,3.5
2023-06-23 12:00:37,Zack Greinke,KC,P,"Jun 23, 2023",TB,3.5
2023-06-23 12:00:37,Zach Eflin,TB,P,"Jun 23, 2023",KC,6.0
2023-06-23 12:00:37,Kenta Maeda,MIN,P,"Jun 23, 2023",DET,4.5
2023-06-23 12:00:37,Joey Wentz,DET,P,"Jun 23, 2023",MIN,5.0
2023-06-23 12:00:37,Luis Ortiz,PIT,P,"Jun 23, 2023",MIA,4.0
2023-06-23 12:00:38,Jesús Luzardo,MIA,P,"Jun 23, 2023",PIT,6.0
2023-06-23 12:00:38,Kodai Senga,NYM,P,"Jun 23, 2023",PHI,6.0
2023-06-23 12:00:38,Taijuan Walker,PHI,P,"Jun 23, 2023",NYM,4.5
2023-06-23 12:00:38,Logan Gilbert,SEA,P,"Jun 23, 2023",BAL,4.5
2023-06-23 12:00:38,Kyle Gibson,BAL,P,"Jun 23, 2023",SEA,5.0
2023-06-23 12:00:38,Clarke Schmidt,NYY,P,"Jun 23, 2023",TEX,5.0
2023-06-23 12:00:38,James Kaprielian,OAK,P,"Jun 23, 2023",TOR,4.0
2023-06-23 12:00:38,Chris Bassitt,TOR,P,"Jun 23, 2023",OAK,5.5
2023-06-23 12:00:39,Wade Miley,MIL,P,"Jun 23, 2023",CLE,3.0
2023-06-23 12:00:39,Shane Bieber,CLE,P,"Jun 23, 2023",MIL,6.0
2023-06-23 12:00:39,Brayan Bello,BOS,P,"Jun 23, 2023",CWS,5.0
2023-06-23 12:00:39,Lucas Giolito,CWS,P,"Jun 23, 2023",BOS,5.5
2023-06-23 12:00:39,Patrick Sandoval,LAA,P,"Jun 23, 2023",COL,5.0
2023-06-23 12:00:39,Kyle Freeland,COL,P,"Jun 23, 2023",LAA,3.0
2023-06-23 12:00:39,Patrick Corbin,WSH,P,"Jun 23, 2023",SD,4.0
2023-06-23 12:00:40,Joe Musgrove,SD,P,"Jun 23, 2023",WSH,5.0
2023-06-23 12:00:40,J.P. France,HOU,P,"Jun 23, 2023",LAD,4.0
2023-06-23 12:00:40,Emmet Sheehan,LAD,P,"Jun 23, 2023",HOU,4.5
2023-06-23 12:00:40,Zach Davies,ARI,P,"Jun 23, 2023",SF,3.5
2023-06-23 12:00:40,Logan Webb,SF,P,"Jun 23, 2023",ARI,5.5
2023-06-23 13:01:28,AJ Smith-Shawver,ATL,P,"Jun 23, 2023",CIN,4.5
2023-06-23 13:01:28,Luke Weaver,CIN,P,"Jun 23, 2023",ATL,3.5
2023-06-23 13:01:28,Zack Greinke,KC,P,"Jun 23, 2023",TB,3.5
2023-06-23 13:01:28,Zach Eflin,TB,P,"Jun 23, 2023",KC,6.0
2023-06-23 13:01:28,Kenta Maeda,MIN,P,"Jun 23, 2023",DET,4.5
2023-06-23 13:01:29,Joey Wentz,DET,P,"Jun 23, 2023",MIN,5.0
2023-06-23 13:01:29,Luis Ortiz,PIT,P,"Jun 23, 2023",MIA,4.0
2023-06-23 13:01:29,Jesús Luzardo,MIA,P,"Jun 23, 2023",PIT,6.5
2023-06-23 13:01:29,Kodai Senga,NYM,P,"Jun 23, 2023",PHI,6.0
2023-06-23 13:01:29,Taijuan Walker,PHI,P,"Jun 23, 2023",NYM,4.5
2023-06-23 13:01:29,Logan Gilbert,SEA,P,"Jun 23, 2023",BAL,4.5
2023-06-23 13:01:29,Kyle Gibson,BAL,P,"Jun 23, 2023",SEA,5.0
2023-06-23 13:01:29,Clarke Schmidt,NYY,P,"Jun 23, 2023",TEX,5.0
2023-06-23 13:01:29,James Kaprielian,OAK,P,"Jun 23, 2023",TOR,4.0
2023-06-23 13:01:30,Chris Bassitt,TOR,P,"Jun 23, 2023",OAK,5.5
2023-06-23 13:01:30,Wade Miley,MIL,P,"Jun 23, 2023",CLE,3.0
2023-06-23 13:01:30,Shane Bieber,CLE,P,"Jun 23, 2023",MIL,6.0
